label,Masse (kg),masse volumique (kg/m3),Volume (m3),nombre,Masse g
envellope,2.8,calc,7.06868380863,1,2800
gaz,calc,0.1785,7.06868380863,1,
Moteurs propulsion,0.029,None,None,8,29
Helices,0.0046,None,None,8,4.6
ESC,0.028,None,None,8,28
teensy,0.0084,None,None,2,8.4
Poche ballast,0.0192,None,None,2,19.2
recepteur Futaba,0.0087,None,None,1,8.7
recepteur ProTronik,0.0103,None,None,1,10.3
servo moteur nacelle,0.0504,None,None,2,50.4
electro aimant,0.0485,None,None,2,48.5
L298N,0.0245,None,None,2,24.5
Pompe,0.14,None,None,2,140
UBEC,0.01,None,None,1,10
batterie Propulsion,0.14,None,None,2,140
batterie elec,0.099,None,None,1,99
Fil de peche + poulie,0.05,None,None,2,50
tubes,0.19,None,None,1,190
tige carbone,0.074,None,None,1,74
imprimé 3D,0.15,None,None,1,150
cables,0.1,None,None,1,100
